"","wordsum","wrkstat","age","pres08","authoritarianism","income","con_govt","conarmy","degree"
"32",6,"WORKING FULL TIME",63,"Obama",2,56382.5049616438,4,"A GREAT DEAL","Junior Coll"
"33",8,"RETIRED",73,"Obama",0,174741.149291056,2,"HARDLY ANY","Graduate deg"
"34",NA,"WORKING FULL TIME",40,NA,5,74998.9377042535,4,"A GREAT DEAL","Bachelor deg"
"35",4,"WORKING FULL TIME",42,"McCain",1,74997.5257797944,1,"ONLY SOME","HS"
"36",NA,"WORKING FULL TIME",62,"Obama",1,74999.3111289128,3,"ONLY SOME","Graduate deg"
"37",3,"WORKING FULL TIME",52,NA,NA,NA,NA,NA,"HS"
"38",4,"WORKING FULL TIME",49,"Obama",3,49995.4565004727,3,"A GREAT DEAL","HS"
"39",9,"WORKING PART TIME",27,"Obama",NA,31380.926078872,NA,NA,"Bachelor deg"
"40",6,"WORKING FULL TIME",30,NA,1,49996.6927481467,1,"ONLY SOME","HS"
"41",NA,"WORKING FULL TIME",29,NA,1,NA,3,"HARDLY ANY","Graduate deg"
"42",6,"RETIRED",69,"Obama",0,120509.740412622,3,"ONLY SOME","HS"
"43",7,"WORKING FULL TIME",51,"Obama",3,174332.584162951,2,"ONLY SOME","Graduate deg"
"44",NA,"WORKING FULL TIME",57,"Obama",1,175236.352033161,3,"ONLY SOME","Bachelor deg"
"45",NA,"WORKING FULL TIME",44,"Obama",1,174974.031886574,2,"ONLY SOME","Bachelor deg"
"46",8,"KEEPING HOUSE",73,"Obama",1,175598.392580041,3,"A GREAT DEAL","Bachelor deg"
"47",NA,"KEEPING HOUSE",73,"McCain",2,175274.749086473,3,"A GREAT DEAL","Bachelor deg"
"48",9,"WORKING FULL TIME",68,"Obama",1,176537.969941898,2,"ONLY SOME","Graduate deg"
"49",10,"RETIRED",84,"Obama",2,74999.6014838077,2,"ONLY SOME","Bachelor deg"
"50",NA,"RETIRED",63,"McCain",2,174559.050690113,1,"ONLY SOME","Graduate deg"
"51",NA,"WORKING FULL TIME",57,"McCain",4,74999.558238294,3,"A GREAT DEAL","Bachelor deg"
"52",4,"WORKING FULL TIME",42,NA,1,173995.33680123,4,"ONLY SOME","Bachelor deg"
"53",10,"KEEPING HOUSE",45,NA,NA,175439.206681886,NA,NA,"Graduate deg"
"54",7,"WORKING FULL TIME",38,"Obama",1,140346.831320341,2,"A GREAT DEAL","Junior Coll"
"55",NA,"WORKING FULL TIME",46,NA,3,175931.393864916,3,"ONLY SOME","Graduate deg"
"56",5,"SCHOOL",51,NA,NA,NA,NA,NA,"Graduate deg"
"57",NA,"WORKING FULL TIME",41,NA,1,37846.4979484852,3,"ONLY SOME","HS"
"58",4,"RETIRED",75,"Obama",NA,26573.9503498305,NA,NA,"HS"
"59",NA,"RETIRED",81,"Obama",1,8641.8434186767,3,"A GREAT DEAL","<HS"
"60",4,"WORKING PART TIME",41,NA,4,NA,NA,"ONLY SOME","<HS"
"61",6,"RETIRED",67,"Obama",NA,74996.288813087,NA,NA,"Graduate deg"
"62",6,"RETIRED",71,"Obama",3,27760.7610518436,3,"ONLY SOME","Graduate deg"
"63",NA,"WORKING FULL TIME",35,NA,3,NA,3,"ONLY SOME","<HS"
"64",NA,"WORKING FULL TIME",45,"Obama",4,49999.7090645577,4,"ONLY SOME","Bachelor deg"
"65",6,"KEEPING HOUSE",35,"Obama",NA,NA,NA,NA,"Bachelor deg"
"66",NA,"SCHOOL",21,NA,2,NA,1,"HARDLY ANY","HS"
"67",5,"WORKING FULL TIME",52,NA,5,33621.9994236312,3,"ONLY SOME","<HS"
"68",7,"WORKING FULL TIME",49,"Obama",NA,74998.7796526992,NA,NA,"Bachelor deg"
"69",10,"WORKING FULL TIME",46,"Obama",0,83444.0178207713,1,"ONLY SOME","Bachelor deg"
"70",NA,"WORKING FULL TIME",51,"Obama",1,31953.9525361332,3,"HARDLY ANY","HS"
"71",7,"WORKING FULL TIME",28,NA,NA,120377.979008116,NA,NA,"Bachelor deg"
"72",9,"RETIRED",81,"McCain",NA,118990.086002105,NA,NA,"Graduate deg"
"73",NA,"WORKING FULL TIME",47,NA,1,NA,2,"ONLY SOME","Bachelor deg"
"74",NA,"WORKING FULL TIME",48,NA,NA,NA,NA,NA,"Junior Coll"
"75",10,"WORKING FULL TIME",46,"Obama",0,175462.970345248,3,"A GREAT DEAL","Bachelor deg"
"76",5,"RETIRED",68,NA,5,173945.019160757,1,"A GREAT DEAL","HS"
"77",NA,"WORKING FULL TIME",56,"Obama",0,81866.4364727657,3,"ONLY SOME","Bachelor deg"
"78",6,"KEEPING HOUSE",43,"Obama",1,82361.4849191788,4,"A GREAT DEAL","HS"
"79",4,"WORKING FULL TIME",32,"Obama",5,26593.6607129346,2,"ONLY SOME","HS"
"80",NA,"WORKING PART TIME",23,NA,5,NA,3,"HARDLY ANY","<HS"
"81",5,"RETIRED",59,"Obama",5,28643.4170051959,3,"ONLY SOME","HS"
"82",9,"WORKING FULL TIME",32,"Obama",2,175655.579990176,2,"A GREAT DEAL","Graduate deg"
"83",8,"WORKING FULL TIME",44,"Obama",NA,138020.649349955,NA,NA,"Graduate deg"
"84",NA,"WORKING FULL TIME",49,"Obama",0,140502.976619567,4,"A GREAT DEAL","Graduate deg"
"85",9,"WORKING FULL TIME",64,NA,0,49999.0356341277,2,"ONLY SOME","HS"
"86",NA,"WORKING FULL TIME",30,NA,4,NA,4,"ONLY SOME","Graduate deg"
"87",NA,"KEEPING HOUSE",51,NA,3,37303.4477895111,1,"A GREAT DEAL","HS"
"88",5,"WORKING FULL TIME",28,"Obama",NA,82292.6467341811,NA,NA,"Bachelor deg"
"89",NA,"RETIRED",84,"McCain",3,NA,3,"A GREAT DEAL","HS"
"90",3,"WORKING FULL TIME",32,NA,6,16574.601001117,3,"ONLY SOME","HS"
"91",4,NA,54,"Obama",NA,120009.848313982,NA,NA,"Graduate deg"
"92",7,"WORKING FULL TIME",34,NA,NA,53557.027952379,NA,NA,"Bachelor deg"
"93",6,"WORKING PART TIME",33,NA,3,23560.8021427144,1,"HARDLY ANY","Graduate deg"
"94",5,"UNEMPLOYED, LAID OFF",48,"Obama",NA,20600.3121771468,NA,NA,"HS"
"95",5,"KEEPING HOUSE",52,NA,4,28006.9277554375,4,"ONLY SOME","<HS"
"96",NA,"WORKING PART TIME",NA,NA,6,24488.2652932207,3,"ONLY SOME","HS"
"97",NA,"WORKING FULL TIME",54,NA,1,176060.924775991,3,"ONLY SOME","Bachelor deg"
"98",6,"SCHOOL",19,NA,NA,NA,NA,NA,"HS"
"99",4,"WORKING FULL TIME",41,NA,NA,80843.6049959169,NA,NA,"Bachelor deg"
"100",4,"WORKING PART TIME",23,"Obama",NA,119374.725985789,NA,NA,"HS"
"101",1,"RETIRED",51,"Obama",5,175851.125227693,3,"A GREAT DEAL","HS"
"102",10,"RETIRED",75,"Obama",NA,140381.425991441,NA,NA,"Bachelor deg"
"103",NA,"KEEPING HOUSE",NA,NA,0,NA,4,"A GREAT DEAL","Graduate deg"
"104",NA,"WORKING FULL TIME",27,NA,3,6536.24505829383,3,"A GREAT DEAL","HS"
"105",5,"UNEMPLOYED, LAID OFF",24,"Obama",2,NA,3,"ONLY SOME","HS"
"106",8,"WORKING FULL TIME",26,"McCain",NA,32386.6505644346,NA,NA,"Graduate deg"
"107",NA,"WORKING PART TIME",47,"Obama",0,NA,3,"ONLY SOME","Graduate deg"
"108",5,"UNEMPLOYED, LAID OFF",55,"McCain",NA,19188.7302280405,NA,NA,"HS"
"109",8,"UNEMPLOYED, LAID OFF",55,"Obama",NA,31772.4680477003,2,"ONLY SOME","Graduate deg"
"110",7,"WORKING FULL TIME",43,"Obama",3,82494.6237331081,3,"A GREAT DEAL","Bachelor deg"
"111",NA,"WORKING FULL TIME",46,"Obama",2,NA,2,"ONLY SOME","HS"
"112",NA,"WORKING FULL TIME",71,"Obama",1,141137.012329787,1,"A GREAT DEAL","Bachelor deg"
"113",7,"WORKING FULL TIME",32,NA,NA,174541.201698678,NA,NA,"Bachelor deg"
"114",NA,"WORKING PART TIME",63,NA,1,NA,3,"A GREAT DEAL","Graduate deg"
"115",6,"WORKING FULL TIME",50,NA,NA,14194.0948540847,NA,NA,"HS"
"116",6,"WORKING FULL TIME",60,"McCain",2,74999.4819928302,3,"A GREAT DEAL","HS"
"117",7,"KEEPING HOUSE",33,NA,NA,23230.7199556731,NA,NA,"Junior Coll"
"118",8,"WORKING FULL TIME",40,"McCain",1,139937.244116432,3,"ONLY SOME","Graduate deg"
"119",NA,"RETIRED",68,NA,5,27123.8025045891,NA,"A GREAT DEAL","HS"
"120",9,"RETIRED",69,"McCain",NA,82164.0591557519,NA,NA,"Junior Coll"
"121",9,"RETIRED",71,"McCain",1,174063.002223563,3,"A GREAT DEAL","Graduate deg"
"122",NA,"WORKING FULL TIME",23,NA,4,49997.2876700178,2,"HARDLY ANY","HS"
"123",8,"WORKING FULL TIME",28,"Obama",2,NA,3,"A GREAT DEAL","Bachelor deg"
"124",7,"WORKING FULL TIME",49,"Obama",0,74997.985084892,1,"ONLY SOME","HS"
"125",10,"UNEMPLOYED, LAID OFF",66,NA,1,37554.296795304,1,"A GREAT DEAL","Graduate deg"
"126",NA,"WORKING FULL TIME",36,"Obama",1,74999.9101697918,3,"HARDLY ANY","Bachelor deg"
"127",8,"WORKING FULL TIME",53,"Obama",NA,174309.47355796,NA,NA,"Graduate deg"
"128",NA,"WORKING FULL TIME",40,NA,4,24404.398844599,2,"ONLY SOME","<HS"
"129",4,"WORKING FULL TIME",34,NA,4,49999.1798590081,4,"A GREAT DEAL","HS"
"130",4,"WORKING PART TIME",58,NA,6,29274.7100771303,1,"HARDLY ANY","<HS"
"131",NA,"UNEMPLOYED, LAID OFF",62,"McCain",4,55570.8818952995,1,"A GREAT DEAL","HS"
"132",3,"WORKING FULL TIME",24,NA,NA,173125.203968713,NA,NA,"HS"
"133",5,"RETIRED",72,"Obama",5,10828.5835423758,1,"HARDLY ANY","<HS"
"134",NA,"WORKING FULL TIME",32,NA,1,49999.5452029865,1,"HARDLY ANY","HS"
"135",8,"WORKING FULL TIME",29,NA,3,52398.1669041107,3,"A GREAT DEAL","Bachelor deg"
"136",NA,"WORKING FULL TIME",34,"Obama",1,49999.2185953345,3,"A GREAT DEAL","HS"
"137",4,"UNEMPLOYED, LAID OFF",36,"Obama",6,14293.4116578801,4,"A GREAT DEAL","HS"
"138",NA,"RETIRED",74,"Obama",7,18344.2800694928,4,"A GREAT DEAL","<HS"
"139",2,"WORKING FULL TIME",49,NA,2,173843.467502113,NA,"ONLY SOME","Bachelor deg"
"140",5,"WORKING FULL TIME",60,"Obama",NA,118964.999255863,NA,NA,"Bachelor deg"
"141",NA,"WORKING PART TIME",78,"McCain",1,5161.36215782222,2,"A GREAT DEAL","Bachelor deg"
"142",9,"WORKING PART TIME",39,"Obama",3,27128.7140356636,1,"ONLY SOME","HS"
"143",9,"RETIRED",73,"McCain",0,11340.9726227188,1,"A GREAT DEAL","Bachelor deg"
"144",NA,"WORKING PART TIME",67,"McCain",4,15789.9467413673,3,"A GREAT DEAL","Junior Coll"
"145",NA,"RETIRED",82,NA,2,12120.5481124362,3,"ONLY SOME","<HS"
"146",5,"RETIRED",64,"Obama",4,21929.2688659741,4,"A GREAT DEAL","HS"
"147",2,"KEEPING HOUSE",61,"Obama",4,NA,NA,"ONLY SOME","HS"
"148",0,"WORKING FULL TIME",22,NA,NA,16144.0764107787,NA,NA,"<HS"
"149",NA,"WORKING FULL TIME",27,"Obama",3,32119.8684005223,4,"HARDLY ANY","Junior Coll"
"150",6,"WORKING FULL TIME",41,"Obama",NA,37674.5865477432,NA,NA,"HS"
"151",3,"WORKING PART TIME",33,NA,5,6726.06585528216,3,"ONLY SOME","<HS"
"152",NA,"KEEPING HOUSE",49,NA,3,21374.6168846839,4,"A GREAT DEAL","<HS"
"153",2,"WORKING FULL TIME",22,NA,NA,74999.7778088335,NA,NA,"<HS"
"154",3,"WORKING FULL TIME",42,NA,1,14444.7023504027,2,"A GREAT DEAL","<HS"
"155",NA,"WORKING PART TIME",28,NA,4,14019.224961876,4,"ONLY SOME","<HS"
"156",8,"RETIRED",66,"Obama",2,20999.5810736161,4,"ONLY SOME","HS"
"157",NA,"SCHOOL",35,NA,1,53424.5384444436,1,"ONLY SOME","HS"
"158",4,"UNEMPLOYED, LAID OFF",52,NA,6,16506.6385616271,1,"HARDLY ANY","HS"
"159",NA,"WORKING FULL TIME",63,"Obama",1,56381.3227761248,2,"ONLY SOME","HS"
"160",4,"WORKING FULL TIME",31,NA,3,82788.9722536535,4,"A GREAT DEAL","HS"
"161",NA,"KEEPING HOUSE",29,NA,4,80964.0802136299,NA,NA,"Bachelor deg"
"162",8,"WORKING FULL TIME",50,NA,NA,74997.8398538041,NA,NA,"Bachelor deg"
"163",NA,"WORKING FULL TIME",47,"Obama",0,74997.4530561271,3,"ONLY SOME","HS"
"164",NA,"WORKING FULL TIME",65,"Obama",0,74997.4208023773,4,"A GREAT DEAL","HS"
"165",4,"WORKING FULL TIME",62,"McCain",1,81732.7282917555,2,"A GREAT DEAL","HS"
"166",NA,"SCHOOL",18,NA,NA,NA,NA,NA,"HS"
"167",5,"KEEPING HOUSE",40,"Obama",0,10873.7228519942,NA,"HARDLY ANY","HS"
"168",NA,"WORKING FULL TIME",28,"McCain",1,49999.4489303802,4,"A GREAT DEAL","Bachelor deg"
"169",6,"WORKING FULL TIME",24,"Obama",1,55437.4584852909,3,"ONLY SOME","Bachelor deg"
"170",NA,"WORKING FULL TIME",40,NA,1,NA,3,"ONLY SOME","Graduate deg"
"171",NA,"RETIRED",77,"Obama",4,9279.30341646696,NA,"ONLY SOME","Bachelor deg"
"172",7,"WORKING PART TIME",24,NA,NA,NA,NA,NA,"Junior Coll"
"173",NA,"SCHOOL",21,NA,0,1342.83542934889,3,"A GREAT DEAL","HS"
"174",7,"SCHOOL",22,"McCain",NA,8544.02127604442,NA,NA,"HS"
"175",6,"SCHOOL",24,"Obama",0,622.900786602696,4,"A GREAT DEAL","Junior Coll"
"176",6,"WORKING FULL TIME",22,NA,NA,NA,NA,NA,"HS"
"177",8,"WORKING PART TIME",21,NA,1,NA,3,"A GREAT DEAL","HS"
"178",NA,"RETIRED",67,NA,6,30812.9003840535,3,"HARDLY ANY","Graduate deg"
"179",9,"WORKING FULL TIME",32,"McCain",1,84156.011151853,3,"A GREAT DEAL","Bachelor deg"
"180",NA,"WORKING FULL TIME",38,NA,4,49997.7395310206,4,"A GREAT DEAL","<HS"
"181",6,"KEEPING HOUSE",55,"McCain",NA,139245.359777543,NA,NA,"HS"
"182",NA,"WORKING FULL TIME",40,"Obama",1,55287.4427624093,2,"A GREAT DEAL","HS"
"183",NA,"WORKING FULL TIME",38,"McCain",3,120756.425730777,3,"A GREAT DEAL","HS"
"184",NA,"KEEPING HOUSE",52,"McCain",1,82228.5703122361,2,"A GREAT DEAL","HS"
"185",7,"KEEPING HOUSE",34,"Obama",2,119517.788715942,3,"A GREAT DEAL","Bachelor deg"
"186",8,"WORKING FULL TIME",22,NA,0,11439.3609326363,3,"ONLY SOME","Bachelor deg"
"187",10,"WORKING FULL TIME",56,NA,NA,175121.679273921,NA,NA,"Bachelor deg"
"188",NA,"WORKING FULL TIME",60,NA,2,6343.32155384387,2,"A GREAT DEAL","HS"
"189",NA,"WORKING FULL TIME",39,"McCain",1,175019.567469282,4,"ONLY SOME","Bachelor deg"
"190",5,"WORKING PART TIME",33,"McCain",NA,119977.715618328,NA,NA,"Bachelor deg"
"191",9,"RETIRED",67,NA,5,NA,3,"A GREAT DEAL","HS"
"192",NA,"WORKING FULL TIME",51,"McCain",4,82725.0852350072,2,"A GREAT DEAL","HS"
"193",9,"UNEMPLOYED, LAID OFF",65,"Obama",NA,NA,NA,NA,"HS"
"194",10,"WORKING FULL TIME",42,NA,0,55128.6876650058,4,"A GREAT DEAL","Bachelor deg"
"195",5,"KEEPING HOUSE",65,"Obama",3,49999.3879551347,3,"A GREAT DEAL","HS"
"196",3,"SCHOOL",25,"Obama",NA,22428.590087373,NA,NA,"HS"
"197",5,"UNEMPLOYED, LAID OFF",36,"Obama",6,140404.53934015,4,"A GREAT DEAL","HS"
"198",NA,"WORKING FULL TIME",38,"Obama",2,32069.0253807713,4,"A GREAT DEAL","HS"
"199",4,"SCHOOL",18,NA,NA,53641.6805043272,NA,NA,"HS"
"200",NA,"WORKING FULL TIME",38,NA,2,31481.0958193615,3,"A GREAT DEAL","<HS"
"201",NA,"WORKING PART TIME",41,NA,4,175397.840272613,4,"A GREAT DEAL","<HS"
"202",8,"WORKING FULL TIME",20,NA,NA,NA,NA,NA,"HS"
"203",NA,"UNEMPLOYED, LAID OFF",39,"Obama",3,140438.260044205,4,"A GREAT DEAL","Bachelor deg"
"204",NA,"SCHOOL",25,"McCain",1,49990.056491816,3,"A GREAT DEAL","Bachelor deg"
"205",7,"WORKING FULL TIME",57,"Obama",5,37388.1259920816,4,"ONLY SOME","Junior Coll"
"206",7,"WORKING PART TIME",61,"Obama",NA,NA,NA,NA,"<HS"
"207",NA,"WORKING FULL TIME",31,"Obama",2,49998.9749257825,3,"A GREAT DEAL","Bachelor deg"
"208",NA,"RETIRED",62,NA,1,NA,2,"ONLY SOME","Graduate deg"
"209",7,"WORKING PART TIME",30,NA,NA,37697.0816040613,NA,NA,"HS"
"210",7,"WORKING FULL TIME",68,"McCain",NA,26262.1801266165,NA,NA,"Junior Coll"
"211",NA,"WORKING FULL TIME",50,NA,4,37349.9611883954,4,"A GREAT DEAL","HS"
"212",NA,"WORKING FULL TIME",27,NA,7,49999.7889866614,3,"A GREAT DEAL","HS"
"213",NA,"WORKING FULL TIME",30,"Obama",1,74996.1290333152,4,"A GREAT DEAL","Bachelor deg"
"214",NA,"KEEPING HOUSE",65,"Obama",1,119664.366989118,4,"ONLY SOME","Junior Coll"
"215",6,"WORKING PART TIME",65,"Obama",1,174507.354068166,2,"ONLY SOME","Graduate deg"
"216",NA,"WORKING FULL TIME",36,"Obama",1,82283.2724371737,3,"ONLY SOME","Graduate deg"
"217",10,"UNEMPLOYED, LAID OFF",72,"McCain",1,49998.1634237944,1,"A GREAT DEAL","HS"
"218",NA,"KEEPING HOUSE",27,"Obama",4,NA,2,"ONLY SOME","HS"
"219",4,"WORKING PART TIME",22,NA,NA,20814.3511566279,NA,NA,"HS"
"220",3,"KEEPING HOUSE",33,NA,5,21506.6662520895,2,"ONLY SOME","<HS"
"221",NA,"WORKING FULL TIME",35,NA,NA,21379.2652066615,NA,NA,"<HS"
"222",10,"KEEPING HOUSE",54,"Obama",NA,NA,NA,NA,"<HS"
"223",NA,"SCHOOL",18,NA,4,11598.142061595,2,"A GREAT DEAL","<HS"
"224",5,"WORKING PART TIME",38,NA,NA,10907.6311675565,NA,NA,"HS"
"225",6,"WORKING PART TIME",67,"McCain",NA,74998.7418619746,NA,NA,"HS"
"226",6,"WORKING FULL TIME",48,"McCain",3,49997.9780468462,4,"A GREAT DEAL","HS"
"227",10,"RETIRED",64,"Obama",NA,80157.2163197293,NA,NA,"Graduate deg"
"228",NA,"RETIRED",89,"Obama",1,NA,2,"HARDLY ANY","Graduate deg"
"229",6,"WORKING FULL TIME",48,"Obama",3,49998.9305815299,4,"A GREAT DEAL","HS"
"230",6,"KEEPING HOUSE",44,NA,NA,NA,NA,NA,"<HS"
"231",10,"WORKING FULL TIME",42,NA,NA,120204.765505999,NA,NA,"HS"
"232",5,"KEEPING HOUSE",26,NA,4,281.371084096688,3,"ONLY SOME","Bachelor deg"
"233",NA,"KEEPING HOUSE",68,"Obama",1,14335.4408227109,4,"A GREAT DEAL","<HS"
"234",NA,"WORKING PART TIME",61,"Obama",2,55641.3587903677,4,"A GREAT DEAL","HS"
"235",4,"WORKING FULL TIME",34,"Obama",3,82926.3256453106,3,"A GREAT DEAL","HS"
"236",6,"KEEPING HOUSE",35,NA,NA,13330.9287751018,NA,NA,"<HS"
"237",7,"WORKING FULL TIME",53,NA,NA,140723.136151857,NA,NA,"Bachelor deg"
"238",NA,"WORKING FULL TIME",32,NA,4,NA,3,"A GREAT DEAL","HS"
"239",NA,"RETIRED",61,"Obama",2,49995.8438063043,4,"ONLY SOME","HS"
"240",6,"UNEMPLOYED, LAID OFF",28,NA,NA,24776.6910249439,NA,NA,"HS"
"241",6,"WORKING FULL TIME",39,"Obama",3,74996.4418248557,3,"A GREAT DEAL","HS"
"242",NA,"WORKING FULL TIME",61,"Obama",NA,174735.210388036,NA,NA,"Bachelor deg"
"243",7,"WORKING FULL TIME",65,"McCain",2,NA,1,"ONLY SOME","Graduate deg"
"244",8,"WORKING FULL TIME",34,"McCain",NA,138105.435714167,NA,NA,"Graduate deg"
"245",NA,"RETIRED",87,NA,4,NA,NA,"ONLY SOME","HS"
"246",NA,"SCHOOL",24,"Obama",1,49997.2351136059,3,"ONLY SOME","HS"
"247",7,"WORKING PART TIME",39,"Obama",NA,49994.0317484693,NA,NA,"HS"
"248",NA,"RETIRED",76,NA,4,NA,3,"ONLY SOME","<HS"
"249",NA,"WORKING FULL TIME",32,"McCain",1,55311.5533838593,3,"ONLY SOME","Junior Coll"
"250",6,"WORKING FULL TIME",54,"Obama",1,83042.5926231726,3,"A GREAT DEAL","Bachelor deg"
"251",5,"WORKING PART TIME",55,NA,NA,13426.3143536297,NA,NA,"Junior Coll"
"252",NA,"KEEPING HOUSE",53,"Obama",0,176060.751005411,2,"A GREAT DEAL","Bachelor deg"
"253",6,"WORKING FULL TIME",62,"Obama",NA,32170.6906876221,NA,NA,"HS"
"254",4,"WORKING PART TIME",39,"Obama",1,15250.4455015737,3,"HARDLY ANY","<HS"
"255",3,"WORKING FULL TIME",30,"Obama",NA,55663.0239288057,NA,NA,"HS"
"256",NA,"RETIRED",89,"Obama",3,7466.64210528443,NA,"ONLY SOME","<HS"
"257",5,"WORKING FULL TIME",30,"Obama",2,32172.9084789565,3,"A GREAT DEAL","HS"
"258",NA,"WORKING FULL TIME",35,"Obama",5,49997.9848788237,3,"A GREAT DEAL","HS"
"259",10,"RETIRED",73,"McCain",4,74999.1443304213,1,"A GREAT DEAL","Bachelor deg"
"260",NA,"RETIRED",69,"McCain",1,82725.8257881467,1,"ONLY SOME","Bachelor deg"
"261",7,"RETIRED",89,NA,5,32896.2327219527,4,"ONLY SOME","HS"
"262",NA,"WORKING FULL TIME",55,NA,0,175788.354165324,3,"A GREAT DEAL","Bachelor deg"
"263",3,"RETIRED",78,NA,NA,23165.7918976318,NA,NA,"HS"
"264",6,"WORKING FULL TIME",43,"McCain",NA,174357.679356151,NA,NA,"Bachelor deg"
"265",9,"RETIRED",68,"McCain",2,119952.555951052,3,"ONLY SOME","Bachelor deg"
"266",NA,"WORKING FULL TIME",71,"McCain",4,NA,2,"A GREAT DEAL","Bachelor deg"
"267",9,"KEEPING HOUSE",47,NA,NA,174618.328017705,NA,NA,"Bachelor deg"
"268",NA,"RETIRED",68,"Obama",1,37272.3058029144,2,"A GREAT DEAL","Graduate deg"
"269",7,"RETIRED",76,"Obama",NA,31714.7776083015,NA,NA,"HS"
"270",5,"WORKING FULL TIME",55,"McCain",2,138440.3352612,4,"ONLY SOME","Bachelor deg"
"271",NA,"WORKING FULL TIME",49,"McCain",3,54767.3030438319,1,"ONLY SOME","HS"
"272",6,"WORKING FULL TIME",68,"McCain",NA,74999.0011939484,NA,NA,"HS"
"273",NA,"WORKING FULL TIME",47,NA,2,83761.9817216311,1,"HARDLY ANY","<HS"
"274",8,NA,59,"Obama",3,83090.3568074775,1,"A GREAT DEAL","Junior Coll"
"275",NA,"RETIRED",74,NA,3,31053.7328552163,NA,NA,"Bachelor deg"
"276",5,"UNEMPLOYED, LAID OFF",71,"Obama",2,49999.3914453744,1,"A GREAT DEAL","Junior Coll"
"277",5,"UNEMPLOYED, LAID OFF",32,"Obama",NA,138964.027133123,NA,NA,"HS"
"278",6,"WORKING FULL TIME",30,NA,3,55058.7551250343,2,"A GREAT DEAL","Bachelor deg"
"279",8,"WORKING FULL TIME",38,"McCain",NA,175231.58857013,NA,NA,"Graduate deg"
"280",NA,"WORKING FULL TIME",41,NA,3,140815.591935415,3,"ONLY SOME","Bachelor deg"
"281",6,"TEMP NOT WORKING",62,"Obama",1,120020.009158226,3,"ONLY SOME","Graduate deg"
"282",6,"WORKING FULL TIME",49,"Obama",NA,81798.427857333,NA,NA,"Graduate deg"
"283",8,"WORKING FULL TIME",52,NA,1,NA,1,"A GREAT DEAL","Junior Coll"
"284",6,"RETIRED",61,"McCain",NA,NA,NA,NA,"HS"
"285",NA,"WORKING FULL TIME",52,"Obama",3,173575.355353027,2,"ONLY SOME","Bachelor deg"
